,Open,Close,Time,High,Low
169,524.35,524.55,2014-11-24T09:28:00+0530,524.63,524.15
170,538.77,538.62,2014-11-25T09:28:00+0530,538.99,538.5
171,538.14,537.67,2014-11-26T09:28:00+0530,538.33,537.67
172,540.1,541.25,2014-11-27T09:28:00+0530,541.35,540.1
173,546.92,547,2014-11-28T09:28:00+0530,547.38,546.88
174,1090.5,1090,2014-12-01T09:28:00+0530,1091.24,1090
175,1071.55,1069.5,2014-12-02T09:28:00+0530,1072,1069.5
176,1052.5,1052.33,2014-12-03T09:28:00+0530,1052.5,1052.05
177,1064.98,1064.9,2014-12-04T09:28:00+0530,1065,1064.6
178,1049.5,1051.05,2014-12-05T09:28:00+0530,1051.05,1049.35
179,1000.2,1001.25,2014-12-08T09:28:00+0530,1001.25,1000.13
180,988.1,988.23,2014-12-09T09:28:00+0530,988.5,987.58
181,990.03,991.78,2014-12-10T09:28:00+0530,991.78,990
182,973,972.98,2014-12-11T09:28:00+0530,973,972.18
183,977,976.95,2014-12-12T09:28:00+0530,977.48,976.93
184,964.9,964.73,2014-12-15T09:28:00+0530,965,964.5
185,970.88,972.6,2014-12-16T09:28:00+0530,972.6,970.88
186,971.53,972.25,2014-12-17T09:28:00+0530,972.45,969.58
187,981.3,982.13,2014-12-18T09:28:00+0530,982.18,981.28
188,999.13,998.88,2014-12-19T09:28:00+0530,999.48,998.58
189,994.25,994.08,2014-12-22T09:28:00+0530,994.93,993.78
190,1003.5,1004,2014-12-23T09:28:00+0530,1005,1003.5
191,984.55,986,2014-12-24T09:28:00+0530,986.55,984.55
192,976.05,975,2014-12-26T09:28:00+0530,976.5,975
193,981.78,982.18,2014-12-29T09:28:00+0530,982.23,981.78
194,983.58,983.73,2014-12-30T09:28:00+0530,984.23,983.55
195,981.4,981.38,2015-01-01T09:28:00+0530,981.68,981.15
196,981.6,981.38,2015-01-01T09:28:00+0530,981.68,981.15
197,991.78,992.5,2015-01-02T09:28:00+0530,992.5,991.78
198,992.35,992.5,2015-01-02T09:28:00+0530,992.5,991.78
199,1008.63,1008.9,2015-01-05T09:28:00+0530,1009.35,1008.63
200,1008.85,1008.9,2015-01-05T09:28:00+0530,1009.35,1008.7
201,980.08,980.95,2015-01-06T09:28:00+0530,981.23,980
202,980.33,980.95,2015-01-06T09:28:00+0530,981.23,980
203,982.2,984.48,2015-01-07T09:28:00+0530,984.5,981.93
204,982.2,984.48,2015-01-07T09:28:00+0530,984.5,981.93
205,989.7,990.38,2015-01-08T09:28:00+0530,991,989.33
206,993.25,992.63,2015-01-09T09:28:00+0530,993.73,992.5
207,1047.48,1046.75,2015-01-12T09:28:00+0530,1047.48,1046.5
208,1043,1044.15,2015-01-13T09:28:00+0530,1044.95,1042.5
209,1051.6,1051.48,2015-01-14T09:28:00+0530,1052.28,1051
210,1067.5,1067.75,2015-01-15T09:28:00+0530,1068.4,1067.05
211,1066.75,1067.5,2015-01-16T09:28:00+0530,1067.5,1066.35
212,1059.9,1060,2015-01-19T09:28:00+0530,1060,1059.78
213,1056.85,1056.5,2015-01-20T09:28:00+0530,1056.9,1056.15
214,1059.58,1062.63,2015-01-21T09:28:00+0530,1063.7,1059.58
215,1091,1091.25,2015-01-22T09:28:00+0530,1091.5,1090.25
216,1106.2,1105.9,2015-01-23T09:28:00+0530,1106.5,1105.43
217,1076.75,1078.7,2015-01-27T09:28:00+0530,1078.88,1076.68
218,1074,1074,2015-01-28T09:28:00+0530,1074,1073.5
219,1065.63,1069.48,2015-01-29T09:28:00+0530,1069.48,1065.63
220,1074.95,1074.7,2015-01-30T09:28:00+0530,1074.95,1073.63
221,1067.7,1065.95,2015-02-02T09:28:00+0530,1067.9,1065.28
222,1064.25,1063.88,2015-02-03T09:28:00+0530,1064.25,1063.4
223,1068.45,1069.2,2015-02-04T09:28:00+0530,1069.5,1068.45
224,1079.83,1079.05,2015-02-05T09:28:00+0530,1080.03,1078.8
225,1120.45,1120.43,2015-02-06T09:28:00+0530,1121,1119.68
226,1118.4,1120.5,2015-02-09T09:28:00+0530,1120.5,1118.4
227,1130.18,1131.35,2015-02-10T09:28:00+0530,1131.83,1130.08
228,1131.93,1132.28,2015-02-11T09:28:00+0530,1132.28,1131.83
229,1139.95,1139.93,2015-02-12T09:28:00+0530,1140.18,1139.13
230,1156,1155.98,2015-02-13T09:28:00+0530,1157.4,1155.98
231,1141.9,1141.5,2015-02-16T09:28:00+0530,1142,1141.38
232,1137,1136.55,2015-02-18T09:28:00+0530,1137.1,1136.55
233,1155.95,1156,2015-02-19T09:28:00+0530,1156.45,1155.2
234,1166.48,1166.9,2015-02-20T09:28:00+0530,1167.35,1165.98
235,1150.5,1149.6,2015-02-23T09:28:00+0530,1150.5,1149.6
236,1146.93,1147,2015-02-24T09:28:00+0530,1147,1146
237,1149.7,1149.08,2015-02-25T09:28:00+0530,1150,1149
238,1148.5,1146.48,2015-02-26T09:28:00+0530,1148.8,1146.03
