,Time,Open,High,Low,Close,Volume
1867,2017-06-28,978.55,990.68,969.21,990.33,3737567
1868,2017-06-29,979,987.56,965.25,975.93,4302968
1869,2017-06-30,980.12,983.47,967.61,968,3390345
1870,2017-07-03,972.79,974.49,951.0001,953.66,2909108
1871,2017-07-05,961.53,975,955.25,971.4,3652955
1872,2017-07-06,964.66,974.4,959.02,965.14,3259613
1873,2017-07-07,969.55,980.11,969.14,978.76,2643387
1874,2017-07-10,985,999.4392,983.5,996.47,3546268
1875,2017-07-11,993,995.99,983.72,994.13,2982726
1876,2017-07-12,1000.65,1008.55,998.1,1006.51,3608574
1877,2017-07-13,1004.62,1006.88,995.9,1000.63,2880769
1878,2017-07-14,1002.4,1004.45,996.89,1001.81,2102469
1879,2017-07-17,1004.69,1014.75,1003.81,1010.04,3712587
1880,2017-07-18,1006,1026.03,1004,1024.45,4007624
1881,2017-07-19,1025,1031.59,1022.5,1026.87,2963964
1882,2017-07-20,1031.59,1034.97,1022.52,1028.7,3097487
1883,2017-07-21,1021.28,1026.1,1011,1025.67,2734577
1884,2017-07-24,1028.34,1043.01,1027.43,1038.95,3288020
1885,2017-07-25,1038.05,1043.33,1032.48,1039.87,2447629
1886,2017-07-26,1043.2,1053.2,1043.2,1052.8,2921253
1887,2017-07-27,1069.55,1083.31,1040.18,1046,10991715
1888,2017-07-28,1012.14,1032.85,1001,1020.04,7709420
1889,2017-07-31,1019.05,1019.05,987.02,987.78,7352063
1890,2017-08-01,996.11,1006.4,991.58,996.19,4572576
1891,2017-08-02,1001.77,1003.21,981.73,995.89,4069993
1892,2017-08-03,999.47,999.5,984.59,986.92,3255764
1893,2017-08-04,989.68,991.672,982,987.58,2730308
1894,2017-08-07,990.65,995,987.14,992.27,2676607
1895,2017-08-08,994.35,996.28,985.79,989.84,2902815
1896,2017-08-09,982.6,988,975.27,982.01,3569731
1897,2017-08-10,976.295,979.86,954.68,956.92,5684068
1898,2017-08-11,960,970.39,951.38,967.99,3468017
1899,2017-08-14,978.41,985.5,976.19,983.3,3172892
1900,2017-08-15,988.9,991.74,982,982.74,2549295
1901,2017-08-16,981.65,986.4605,973.22,978.18,3132066
1902,2017-08-17,977.84,977.84,960.32,960.57,3512397
1903,2017-08-18,961.4,965.43,954.65,958.47,3284821
1904,2017-08-21,957.57,961.2,945.46,953.29,3164483
1905,2017-08-22,955.52,967.93,955.495,966.9,2749970
1906,2017-08-23,959.38,962,954.2,958,2668264
1907,2017-08-24,957.42,959,941.14,952.45,5195726
1908,2017-08-25,956,957.6210000000001,944.1,945.26,3324791
1909,2017-08-28,946.54,953,942.25,946.02,2596737
1910,2017-08-29,940,956,936.33,954.06,2874299
1911,2017-08-30,958.44,969.41,956.9062,967.59,2904604
1912,2017-08-31,974.7,981,972.76,980.6,3331488
1913,2017-09-01,984.2,984.5,976.875,978.25,2535917
1914,2017-09-05,975.4,976.7699,960.37,965.27,2998649
1915,2017-09-06,968.32,971.84,960.6,967.8,2129861
1916,2017-09-07,974,980.59,972.55,979.47,2566794
1917,2017-09-08,979.1,979.88,963.47,965.9,2605322
1918,2017-09-11,974.46,981.94,974.22,977.96,2186666
1919,2017-09-12,983.27,984.6718,975.5169999999999,982.58,2481066
1920,2017-09-13,983.97,1000,979.42,999.6,3374650
1921,2017-09-14,996.8,998.56,987.74,992.21,3913263
1922,2017-09-15,993.01,996.25,984.03,986.79,3760183
1923,2017-09-18,990.4,992.7922,968.17,974.19,3411324
1924,2017-09-19,977.25,978.24,967.46,969.86,2671054
1925,2017-09-20,971.79,974.81,962.1626,973.21,2888795
1926,2017-09-21,971.31,971.7,962.02,964.65,2337576
1927,2017-09-22,961.01,965.61,954.42,955.1,2641787
1928,2017-09-25,949.31,949.42,932.89,939.79,5123997
1929,2017-09-26,945.49,948.63,931.75,938.6,3564848
1930,2017-09-27,948,955.3,943.3,950.87,3148933
1931,2017-09-28,951.86,959.7,950.1010000000001,956.4,2522567
1932,2017-09-29,960.11,964.83,958.375,961.35,2543759
1933,2017-10-02,964,967.305,952.1201,959.19,2442937
1934,2017-10-03,958,963.69,950.37,957.1,2666574
1935,2017-10-04,954.21,967.79,954.05,965.45,2527352
1936,2017-10-05,970,981.51,969.64,980.85,3229224
1937,2017-10-06,975.64,995.75,975.64,989.58,3782067
1938,2017-10-09,993.24,998.5,987.5,990.99,2938586
