,Time,Open,High,Low,Close,Volume,polariti
729,2012-12-07,254.14,255.21,252.01,253.2681,2170300,0.377795
730,2012-12-10,253.1,254.78,247.3,247.77,3503800,0.31113500000000005
731,2012-12-11,248.5,253.48,246.65,250.69,4185200,0.4903736842105264
732,2012-12-12,251.07,254.36,250.06,251.76,2628100,0.3641157894736842
733,2012-12-13,251.11,254.54,250.02,251.25,2460200,0.3253900000000001
734,2012-12-14,250.11,251.9,247.79,249.19,2526900,0.3690850000000001
735,2012-12-17,249.81,254.0,249.26,253.86,2277000,0.10887368421052633
736,2012-12-18,254.57,263.11,254.57,260.4,4961000,0.250045
737,2012-12-19,261.3,261.6699,257.68,257.99,2300000,0.12454210526315787
738,2012-12-20,258.36,262.41,256.54,261.5,2584600,0.5005000000000002
739,2012-12-21,257.82,258.38,255.74,256.92,4704600,0.18186500000000005
740,2012-12-24,257.3,259.5,256.96,258.62,984400,-0.0016149999999999914
741,2012-12-26,257.15,257.42,248.04,248.6314,4152700,0.16998947368421055
742,2012-12-27,248.28,249.35,242.86,248.31,3639300,0.173565
743,2012-12-28,245.85,247.44,245.05,245.18,1858700,0.3985833333333334
744,2013-01-02,256.08,258.0999,253.26,257.31,3271000,0.3495368421052632
745,2013-01-03,257.27,260.88,256.37,258.48,2750900,0.076985
746,2013-01-04,257.58,259.8,256.65,259.15,1874200,0.40488
747,2013-01-07,262.97,269.725,262.67,268.4592,4910000,0.20475
748,2013-01-08,267.07,268.98,263.567,266.38,3010700,0.23316315789473685
749,2013-01-09,268.17,269.5,265.401,266.35,2265600,0.251665
750,2013-01-10,268.54,268.74,262.3,265.34,2863400,0.41181
751,2013-01-11,265.1,268.43,264.11,267.94,2413300,0.27756000000000003
752,2013-01-14,268.0,274.26,267.54,272.73,4275000,0.19118
753,2013-01-15,270.68,272.73,269.3,271.9,2326900,0.431925
754,2013-01-16,270.53,271.24,267.83,268.93,2065600,0.22066999999999998
755,2013-01-17,271.43,271.97,269.21,270.48,1884600,0.19962
756,2013-01-18,270.83,274.5,269.6,272.12,2942000,0.1437
757,2013-01-22,271.62,272.1,269.23,270.19,2137700,0.3614450000000001
758,2013-01-23,270.57,271.09,266.65,268.11,2508900,0.2419
759,2013-01-24,269.37,276.65,269.37,273.62,3417000,0.35303
760,2013-01-25,275.0,284.72,274.4,283.99,4968100,0.32520000000000004
761,2013-01-28,283.78,284.48,274.4,276.04,4321400,0.31162105263157897
762,2013-01-29,275.35,275.46,258.35,260.35,10172600,0.17841500000000005
763,2013-01-30,283.0,284.2,267.11,272.764,13075400,0.26378
764,2013-01-31,271.04,275.94,263.6991,265.5,6772100,0.12207500000000003
765,2013-02-01,268.93,268.93,262.8,265.0,6115000,0.3250105263157896
766,2013-02-04,262.78,264.684,259.07,259.98,3723600,0.24776111111111115
767,2013-02-05,262.0,268.03,261.46,266.89,4012900,0.33059499999999997
768,2013-02-06,265.16,266.89,261.11,262.22,2770400,0.14533000000000004
769,2013-02-07,264.1,264.1,255.11,260.23,3975700,0.18770000000000006
770,2013-02-08,261.4,265.25,260.555,261.95,3879200,0.2734500000000001
771,2013-02-11,263.2,263.25,256.6,257.21,3403700,0.25463157894736843
772,2013-02-12,259.19,260.16,257.0,258.7,2943700,0.5371349999999999
773,2013-02-13,261.53,269.96,260.3,269.47,5293000,0.29007000000000005
774,2013-02-14,267.37,270.65,265.4,269.24,3463000,0.2665150000000001
775,2013-02-15,267.63,268.92,263.11,265.09,3979900,0.26497000000000004
776,2013-02-19,265.91,270.11,264.5,269.75,2854200,0.21556000000000006
777,2013-02-20,270.2,274.3,266.371,266.41,3528900,0.4276526315789474
778,2013-02-21,265.12,269.48,263.25,265.94,3637400,0.272965
779,2013-02-22,266.62,267.11,261.61,265.42,3124800,0.10134
780,2013-02-25,266.94,268.694,259.65,259.87,3032400,0.327795
781,2013-02-26,260.89,262.04,255.73,259.36,3348600,0.455295
782,2013-02-27,259.4,265.83,256.86,263.25,2908100,0.26727
783,2013-02-28,261.81,267.0,260.63,264.27,2667200,0.06475
784,2013-03-01,263.27,266.6,261.04,265.74,2957000,-0.018700000000000005
785,2013-03-04,265.36,273.3,264.14,273.11,3453000,0.3290900000000001
786,2013-03-05,274.0,276.68,269.99,275.59,3686200,0.3383550000000001
787,2013-03-06,275.76,276.48900000000003,271.832,273.79,2050700,0.1664421052631579
788,2013-03-07,274.1,274.8,271.85,273.88,1939000,0.3231631578947369
789,2013-03-08,275.0,275.44,271.5,274.19,1879800,0.24556999999999998
790,2013-03-11,273.43,273.99,270.4,271.24,1904900,0.4810549999999999
791,2013-03-12,271.0,277.4,270.3601,274.13,3246200,0.3865150000000001
792,2013-03-13,275.24,276.5,272.64,275.1,1884200,0.04571500000000002
793,2013-03-14,269.67,270.0,263.53,265.74,5226700,0.11148947368421053
794,2013-03-15,264.98,267.26,260.05,261.82,4865900,0.36757
795,2013-03-18,259.3,261.49,257.12,257.89,2720200,0.328955
796,2013-03-19,258.4,259.5,252.62,256.41,3738500,0.2513900000000001
797,2013-03-20,258.05,259.76,254.5501,257.278,2738900,0.28526999999999997
798,2013-03-21,256.11,257.0,252.68,253.39,2806400,0.4096
799,2013-03-22,254.55,257.77,252.07,257.75,3124600,0.22021
800,2013-03-25,258.58,259.42900000000003,254.5,256.02,2513900,0.22127500000000005
801,2013-03-26,257.05,261.48,256.28,260.31,2421000,0.32366999999999996
802,2013-03-27,258.75,265.93,257.9,265.3,2874900,0.03691052631578945
803,2013-03-28,265.82,267.375,264.06,266.49,2473700,0.22125000000000006
804,2013-04-01,266.98,267.4,261.01,261.61,2524800,0.34213000000000005
805,2013-04-02,262.4,265.89,260.55,263.322,2631100,0.14658
806,2013-04-03,262.12,263.67,257.75,259.03,2413800,0.47175789473684204
807,2013-04-04,259.23,260.41,256.12,259.08,1964400,0.314135
808,2013-04-05,255.72,256.18,253.67,255.48,2557400,0.3844699999999999
809,2013-04-08,255.92,259.67900000000003,255.63,258.95,2295600,0.27319999999999994
810,2013-04-09,258.85,262.61,257.0,261.14,2156600,0.3531947368421053
811,2013-04-10,261.78,265.98,259.32,264.77,2322500,0.31756999999999996
812,2013-04-11,264.74,270.97,264.74,269.85,3090500,0.27579000000000004
813,2013-04-12,270.12,273.27,267.02,272.87,2866300,0.5687150000000001
814,2013-04-15,271.08,275.12,267.1,267.72,3326000,0.25042000000000003
815,2013-04-16,269.31,272.8,268.06,272.34,2137200,0.3107900000000001
816,2013-04-17,270.8,270.85,264.25,267.4,3135100,0.196795
817,2013-04-18,266.81,266.9899,256.6,259.42,3137600,0.343355
818,2013-04-19,258.16,262.88,257.5,260.32,2602500,0.374255
819,2013-04-22,259.35,264.6,258.03,263.55,2119100,0.21059473684210528
820,2013-04-23,264.5,269.87,264.5,268.9,2270600,0.2487736842105263
821,2013-04-24,269.5,271.47,266.81,268.78,1852800,0.26117500000000005
822,2013-04-25,271.53,275.8,270.5,274.7,6116500,0.340095
823,2013-04-26,269.97,272.02,252.81,254.81,14030000,0.2889450000000001
824,2013-04-29,254.9,257.01,249.15,249.74,7117000,0.18621500000000005
825,2013-04-30,249.3701,254.68,248.56,253.81,4248800,0.3083526315789474
826,2013-05-01,253.9,254.2,245.75,248.23,4391400,0.2913684210526316
827,2013-05-02,248.94,252.93,245.78,252.55,3936200,0.19657894736842105
828,2013-05-03,256.14,259.25,254.7,258.05,3514000,0.232465
829,2013-05-06,258.09,259.5,253.4201,255.72,2347800,0.23623000000000002
830,2013-05-07,256.31,259.74,252.9101,257.73,3133700,0.38673
831,2013-05-08,256.87,260.295,255.334,258.68,2677000,0.4418684210526316
832,2013-05-09,258.73,263.55,256.88,260.16,2769300,0.3555750000000001
833,2013-05-10,260.88,263.65,260.21,263.63,3145300,0.2364210526315789
834,2013-05-13,262.77,265.88,262.0,264.51,2149500,0.3423333333333333
835,2013-05-14,264.5,269.4,264.028,268.33,2700000,0.31894
836,2013-05-15,267.07,269.05,264.56,266.56,2720500,0.35468421052631577
837,2013-05-16,265.96,268.43,263.85,264.12,1643500,0.34902777777777777
838,2013-05-17,265.83,269.98,265.0,269.9,2527300,0.3810052631578948
839,2013-05-20,269.0,271.79,266.5,267.63,2209000,0.11600500000000002
840,2013-05-21,268.74,270.77,267.66,268.86,1741200,0.13692500000000002
841,2013-05-22,267.39,267.59,260.8,262.96,3332000,0.352475
842,2013-05-23,260.49,263.17,259.59,261.8,2000300,0.327635
843,2013-05-24,259.85,261.93,258.34,261.74,1696300,0.396775
844,2013-05-28,266.48,271.1,266.0,267.29,3471000,0.2659894736842105
845,2013-05-29,265.46,268.25,264.844,265.53,1903400,0.2316000000000001
846,2013-05-30,265.71,268.57,265.615,266.83,1667500,0.2710526315789474
847,2013-05-31,266.0,271.91,265.94,269.2,3374300,0.254565
848,2013-06-03,268.96,269.11,262.95,266.88,2543900,0.15960000000000002
849,2013-06-04,267.0,268.88,263.02,265.7,2088600,0.3367750000000001
850,2013-06-05,265.81,271.66,265.02,267.17,3512300,0.2414736842105263
851,2013-06-06,267.75,270.5,264.21,267.83,2476300,0.35283157894736844
852,2013-06-07,269.74,280.1,269.13,276.87,4632600,0.4462736842105263
853,2013-06-10,276.68,282.47,275.24,281.07,3086500,0.185195
854,2013-06-11,276.0,278.411,274.24,274.78,3097800,0.30279500000000004
855,2013-06-12,276.6,276.8,270.45,271.67,2238900,0.2681250000000001
856,2013-06-13,271.5,276.8,270.2901,275.79,2649800,0.3208300000000001
